日期,隊伍,總分
20230330,Braves vs Nationals,9
20230330,Giants vs Yankees,5
20230330,Orioles vs Red Sox,19
20230330,Brewers vs Cubs,4
20230330,Tigers vs Rays,4
20230330,Phillies vs Rangers,18
20230330,Twins vs Royals,2
20230330,Mets vs Marlins,8
20230330,Pirates vs Reds,9
20230330,Blue Jays vs Cardinals,19
20230330,White Sox vs Astros,5
20230330,Rockies vs Padres,9
20230330,Angels vs Athletics,3
20230330,Diamondbacks vs Dodgers,10
20230330,Guardians vs Mariners,3
20230331,Mets vs Marlins,3
20230331,White Sox vs Astros,9
20230331,Rockies vs Padres,5
20230331,Diamondbacks vs Dodgers,3
20230331,Guardians vs Mariners,13
20230401,White Sox vs Astros,10
20230401,Blue Jays vs Cardinals,5
20230401,Brewers vs Cubs,4
20230401,Braves vs Nationals,8
20230401,Phillies vs Rangers,19
20230401,Giants vs Yankees,12
20230401,Angels vs Athletics,14
20230401,Orioles vs Red Sox,17
20230401,Tigers vs Rays,14
20230401,Twins vs Royals,2
20230401,Mets vs Marlins,8
20230401,Pirates vs Reds,8
20230401,Rockies vs Padres,12
20230401,Diamondbacks vs Dodgers,11
20230401,Guardians vs Mariners,2
20230402,Tigers vs Rays,6
20230402,Braves vs Nationals,5
20230402,Orioles vs Red Sox,14
20230402,Giants vs Yankees,6
20230402,Mets vs Marlins,6
20230402,Pirates vs Reds,4
20230402,White Sox vs Astros,9
20230402,Twins vs Royals,11
20230402,Blue Jays vs Cardinals,13
20230402,Brewers vs Cubs,14
20230402,Angels vs Athletics,6
20230402,Diamondbacks vs Dodgers,3
20230402,Guardians vs Mariners,11
20230402,Rockies vs Padres,4
20230402,Phillies vs Rangers,3
20230403,Mets vs Brewers,10
20230403,Giants vs White Sox,15
20230403,Cubs vs Reds,13
20230403,Twins vs Marlins,12
20230403,Phillies vs Yankees,9
20230403,Rays vs Nationals,8
20230403,Pirates vs Red Sox,13
20230403,Blue Jays vs Royals,14
20230403,Braves vs Cardinals,12
20230403,Orioles vs Rangers,2
20230403,Tigers vs Astros,13
20230403,Angels vs Mariners,10
20230403,Guardians vs Athletics,23
20230403,Diamondbacks vs Padres,9
20230403,Rockies vs Dodgers,17
20230404,Diamondbacks vs Padres,14
20230404,Cubs vs Reds,17
20230404,Twins vs Marlins,1
20230404,Phillies vs Yankees,5
20230404,Rays vs Nationals,16
20230404,Pirates vs Red Sox,5
20230404,Mets vs Brewers,9
20230404,Blue Jays vs Royals,5
20230404,Braves vs Cardinals,5
20230404,Orioles vs Rangers,9
20230404,Tigers vs Astros,9
20230404,Angels vs Mariners,13
20230404,Guardians vs Athletics,7
20230404,Rockies vs Dodgers,7
20230405,Phillies vs Yankees,6
20230405,Rays vs Nationals,9
20230405,Twins vs Marlins,7
20230405,Braves vs Cardinals,7
20230405,Pirates vs Red Sox,5
20230405,Mets vs Brewers,13
20230405,Orioles vs Rangers,7
20230405,Tigers vs Astros,10
20230405,Giants vs White Sox,10
20230405,Guardians vs Athletics,10
20230405,Angels vs Mariners,7
20230405,Blue Jays vs Royals,3
20230406,Red Sox vs Tigers,9
20230406,Giants vs White Sox,22
20230406,Blue Jays vs Royals,9
20230406,Nationals vs Rockies,1
20230406,Padres vs Braves,13
20230406,Dodgers vs Diamondbacks,7
20230407,Marlins vs Mets,12
20230407,Rangers vs Cubs,2
20230407,Yankees vs Orioles,13
20230407,Reds vs Phillies,7
20230407,Mariners vs Guardians,8
20230407,Astros vs Twins,5
20230407,White Sox vs Pirates,22
20230407,Royals vs Giants,4
20230407,Athletics vs Rays,14
20230407,Padres vs Braves,9
20230407,Cardinals vs Brewers,4
20230407,Nationals vs Rockies,15
20230407,Blue Jays vs Angels,7
20230407,Dodgers vs Diamondbacks,9
20230408,Astros vs Twins,15
20230408,Reds vs Phillies,5
20230408,Royals vs Giants,11
20230408,Rangers vs Cubs,13
20230408,Red Sox vs Tigers,19
20230408,Marlins vs Mets,7
20230408,Athletics vs Rays,11
20230408,Mariners vs Guardians,5
20230408,White Sox vs Pirates,16
20230408,Yankees vs Orioles,5
20230408,Cardinals vs Brewers,6
20230408,Padres vs Braves,5
20230408,Dodgers vs Diamondbacks,20
20230408,Nationals vs Rockies,13
20230408,Blue Jays vs Angels,14
20230409,Reds vs Phillies,10
20230409,Red Sox vs Tigers,5
20230409,Athletics vs Rays,11
20230409,Yankees vs Orioles,8
20230409,White Sox vs Pirates,1
20230409,Marlins vs Mets,9
20230409,Mariners vs Guardians,13
20230409,Astros vs Twins,6
20230409,Cardinals vs Brewers,7
20230409,Rangers vs Cubs,10
